Quantity,UnitPrice,ItemsInCart,TotalPrice,HasCoupon,OrderMonth,OrderYear,IsHighValueOrder,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_No Coupon,CouponCode_SAVE10,CouponCode_WINTER15
5,570.62,7,2853.1,1,1,2023,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
2,151.35,3,302.7,1,8,2024,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
5,550.68,8,2753.4,1,2,2024,1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,273.19,5,273.19,1,10,2023,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
4,626.01,8,2504.04,1,5,2025,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
2,245.86,4,491.72,1,10,2023,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
1,664.42,6,664.42,1,6,2025,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
5,149.55,9,747.75,1,5,2023,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2,134.28,2,268.56,0,4,2025,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
4,509.38,6,2037.52,1,11,2023,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
5,625.97,9,3129.85,1,12,2023,1,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
3,49.14,7,147.42,1,2,2024,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2,180.5,6,361.0,1,10,2024,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
3,201.49,4,604.47,1,8,2023,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2,393.33,3,786.66,1,3,2023,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
1,473.96,3,473.96,0,7,2023,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2,533.81,3,1067.62,1,1,2023,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,423.4,3,423.4,0,3,2024,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
1,431.44,3,431.44,1,3,2025,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
5,224.0,9,1120.0,1,1,2023,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
